time,moisture0,moisture1,moisture2,moisture3,moisture4
0,0.33,0.4,0.36,0.23,0.02
1,0.32,0.39,0.35,0.23,0.02
2,0.31,0.39,0.34,0.22,0.02
3,0.3,0.38,0.33,0.21,0.02
4,0.29,0.38,0.33,0.21,0.02
5,0.28,0.38,0.33,0.21,0.02
6,0.28,0.37,0.33,0.2,0.02
7,0.27,0.37,0.33,0.19,0.02
8,0.3,0.38,0.35,0.2,0.03
9,0.26,0.36,0.34,0.17,0.02
10,0.26,0.36,0.34,0.17,0.02
11,0.25,0.36,0.34,0.17,0.02
12,0.25,0.36,0.34,0.17,0.02
13,0.25,0.36,0.34,0.17,0.02
14,0.24,0.36,0.34,0.16,0.02
15,0.24,0.36,0.33,0.16,0.02
16,0.24,0.36,0.29,0.16,0.02
17,0.23,0.36,0.3,0.15,0.02
18,0.23,0.36,0.29,0.18,0.03
19,0.23,0.36,0.29,0.15,0.02
20,0.23,0.36,0.29,0.15,0.02
21,0.23,0.36,0.29,0.15,0.02
22,0.23,0.36,0.29,0.15,0.02
23,0.23,0.36,0.29,0.15,0.02
24,0.23,0.36,0.29,0.15,0.02
25,0.23,0.36,0.28,0.15,0.02
26,0.22,0.36,0.28,0.15,0.02
27,0.22,0.36,0.28,0.15,0.02
28,0.22,0.36,0.28,0.15,0.02
29,0.22,0.36,0.28,0.15,0.02
30,0.22,0.36,0.28,0.15,0.02
31,0.22,0.36,0.28,0.15,0.02
32,0.22,0.36,0.28,0.15,0.02
33,0.22,0.36,0.28,0.15,0.02
34,0.22,0.36,0.27,0.16,0.02
35,0.22,0.36,0.27,0.16,0.02
36,0.22,0.36,0.27,0.16,0.02
37,0.22,0.36,0.27,0.16,0.02
38,0.22,0.33,0.27,0.15,0.02
39,0.24,0.37,0.28,0.16,0.03
40,0.23,0.34,0.27,0.11,0.02
41,0.23,0.36,0.26,0.13,0.02
42,0.23,0.35,0.27,0.14,0.02
43,0.23,0.35,0.27,0.14,0.02
44,0.23,0.35,0.26,0.13,0.02
45,0.23,0.35,0.26,0.13,0.02
46,0.23,0.34,0.26,0.13,0.02
47,0.23,0.34,0.26,0.13,0.02
48,0.23,0.34,0.26,0.13,0.02
49,0.23,0.37,0.25,0.15,0.03
50,0.23,0.34,0.23,0.13,0.02
51,0.23,0.34,0.25,0.12,0.02
52,0.23,0.3,0.24,0.12,0.02
53,0.22,0.31,0.25,0.12,0.02
54,0.23,0.29,0.25,0.12,0.02
55,0.23,0.29,0.25,0.12,0.02
56,0.23,0.29,0.25,0.13,0.02
57,0.23,0.29,0.25,0.12,0.02
58,0.24,0.29,0.27,0.12,0.02
59,0.23,0.29,0.27,0.12,0.03
60,0.23,0.26,0.27,0.13,0.02
61,0.23,0.26,0.26,0.11,0.02
62,0.23,0.26,0.27,0.12,0.02
63,0.23,0.27,0.27,0.12,0.02
64,0.23,0.27,0.27,0.12,0.02
65,0.23,0.26,0.26,0.12,0.02
66,0.23,0.26,0.26,0.12,0.02
67,0.23,0.26,0.26,0.12,0.02
68,0.23,0.26,0.26,0.12,0.02
69,0.23,0.26,0.26,0.12,0.02
70,0.23,0.27,0.28,0.12,0.02
71,0.23,0.27,0.28,0.12,0.02
72,0.23,0.27,0.27,0.12,0.02
73,0.23,0.27,0.27,0.12,0.02
74,0.23,0.27,0.27,0.12,0.02
75,0.23,0.27,0.27,0.12,0.02
76,0.23,0.26,0.27,0.12,0.02
77,0.23,0.27,0.27,0.12,0.02
78,0.23,0.27,0.27,0.12,0.02
79,0.23,0.27,0.26,0.12,0.02
80,0.25,0.29,0.28,0.13,0.03
81,0.23,0.28,0.26,0.11,0.02
82,0.23,0.28,0.26,0.11,0.02
83,0.23,0.28,0.26,0.12,0.02
84,0.23,0.28,0.27,0.12,0.02
85,0.23,0.28,0.27,0.11,0.02
86,0.23,0.28,0.27,0.12,0.02
87,0.23,0.28,0.26,0.11,0.02
88,0.23,0.28,0.27,0.11,0.02
89,0.23,0.28,0.28,0.11,0.02
90,0.23,0.28,0.29,0.14,0.03
91,0.23,0.28,0.27,0.11,0.02
92,0.23,0.29,0.28,0.11,0.02
93,0.23,0.29,0.27,0.11,0.02
94,0.23,0.29,0.27,0.11,0.02
95,0.23,0.29,0.28,0.11,0.02
96,0.23,0.29,0.28,0.11,0.02
97,0.23,0.29,0.28,0.11,0.02
98,0.23,0.29,0.28,0.11,0.02
99,0.23,0.29,0.27,0.11,0.02
100,0.23,0.3,0.29,0.11,0.03
101,0.23,0.3,0.28,0.11,0.02
102,0.22,0.3,0.28,0.11,0.02
103,0.22,0.3,0.28,0.11,0.02
104,0.23,0.31,0.29,0.11,0.02
105,0.23,0.31,0.27,0.11,0.02
106,0.22,0.31,0.29,0.11,0.02
107,0.22,0.32,0.29,0.11,0.02
108,0.22,0.33,0.29,0.11,0.02
109,0.22,0.33,0.29,0.11,0.02
110,0.22,0.33,0.28,0.11,0.02
111,0.25,0.32,0.29,0.13,0.03
112,0.22,0.3,0.29,0.11,0.02
113,0.22,0.32,0.29,0.11,0.02
114,0.22,0.32,0.29,0.11,0.02
115,0.22,0.32,0.28,0.11,0.02
116,0.22,0.31,0.3,0.11,0.02
117,0.22,0.3,0.3,0.11,0.02
118,0.22,0.32,0.3,0.11,0.02
119,0.22,0.31,0.3,0.11,0.02
120,0.22,0.31,0.29,0.11,0.02
121,0.22,0.3,0.3,0.11,0.03
122,0.22,0.3,0.31,0.1,0.02
123,0.22,0.3,0.29,0.11,0.02
124,0.22,0.3,0.29,0.1,0.02
125,0.21,0.3,0.31,0.11,0.02
126,0.21,0.3,0.3,0.1,0.02
127,0.21,0.3,0.3,0.11,0.02
128,0.21,0.3,0.31,0.1,0.02
129,0.21,0.3,0.3,0.11,0.02
130,0.21,0.3,0.31,0.11,0.02
131,0.21,0.3,0.3,0.11,0.02
132,0.24,0.32,0.31,0.12,0.03
133,0.21,0.3,0.3,0.11,0.02
134,0.21,0.3,0.3,0.11,0.02
135,0.21,0.32,0.3,0.11,0.02
136,0.21,0.32,0.3,0.11,0.02
137,0.21,0.32,0.3,0.1,0.02
138,0.21,0.33,0.3,0.1,0.02
139,0.21,0.33,0.3,0.11,0.02
140,0.21,0.33,0.3,0.11,0.02
141,0.21,0.33,0.3,0.11,0.02
142,0.21,0.33,0.31,0.14,0.03
143,0.21,0.32,0.31,0.1,0.02
144,0.21,0.32,0.3,0.1,0.02
145,0.21,0.33,0.3,0.1,0.02
146,0.21,0.32,0.32,0.1,0.02
147,0.21,0.33,0.31,0.1,0.02
148,0.21,0.33,0.3,0.1,0.02
149,0.21,0.32,0.3,0.1,0.02
150,0.21,0.32,0.3,0.1,0.02
151,0.21,0.31,0.3,0.1,0.02
152,0.21,0.31,0.3,0.1,0.02
153,0.23,0.32,0.31,0.12,0.03
154,0.21,0.32,0.3,0.1,0.02
155,0.21,0.32,0.31,0.1,0.02
156,0.21,0.32,0.31,0.1,0.02
157,0.21,0.32,0.31,0.1,0.02
158,0.21,0.31,0.31,0.1,0.02
159,0.21,0.31,0.31,0.1,0.02
160,0.21,0.31,0.31,0.1,0.02
161,0.21,0.31,0.31,0.1,0.02
162,0.21,0.31,0.31,0.1,0.02
163,0.21,0.31,0.33,0.13,0.03
164,0.21,0.31,0.3,0.1,0.02
165,0.21,0.31,0.31,0.1,0.02
166,0.2,0.31,0.31,0.1,0.02
167,0.2,0.31,0.31,0.1,0.02
168,0.21,0.31,0.31,0.1,0.02
169,0.21,0.32,0.31,0.1,0.02
170,0.2,0.33,0.31,0.1,0.02
171,0.2,0.36,0.31,0.1,0.02
172,0.21,0.38,0.31,0.1,0.02
173,0.2,0.39,0.31,0.1,0.02
174,0.23,0.39,0.32,0.11,0.03
175,0.2,0.38,0.31,0.1,0.02
176,0.21,0.38,0.31,0.1,0.02
177,0.2,0.36,0.31,0.1,0.02
178,0.21,0.33,0.31,0.1,0.02
179,0.2,0.38,0.31,0.1,0.02
180,0.21,0.38,0.31,0.1,0.02
181,0.2,0.34,0.31,0.1,0.02
182,0.21,0.37,0.31,0.1,0.02
183,0.2,0.37,0.31,0.1,0.02
184,0.21,0.38,0.31,0.13,0.03
185,0.2,0.38,0.31,0.1,0.02
186,0.2,0.33,0.31,0.1,0.02
187,0.2,0.34,0.31,0.1,0.02
188,0.21,0.37,0.31,0.1,0.02
189,0.21,0.38,0.31,0.1,0.02
190,0.21,0.39,0.31,0.1,0.02
191,0.21,0.36,0.31,0.11,0.02
192,0.21,0.37,0.31,0.12,0.02
193,0.21,0.37,0.32,0.12,0.02
194,0.2,0.37,0.31,0.11,0.02
195,0.23,0.37,0.32,0.12,0.03
196,0.21,0.34,0.31,0.11,0.02
197,0.21,0.4,0.31,0.11,0.02
198,0.21,0.37,0.32,0.11,0.02
199,0.21,0.38,0.31,0.1,0.02
200,0.21,0.37,0.32,0.11,0.02
201,0.21,0.37,0.32,0.11,0.02
202,0.2,0.39,0.32,0.11,0.02
203,0.21,0.37,0.32,0.11,0.02
204,0.2,0.38,0.31,0.11,0.02
205,0.2,0.41,0.34,0.13,0.03
206,0.2,0.39,0.31,0.11,0.02
207,0.2,0.39,0.31,0.11,0.02
208,0.21,0.38,0.32,0.11,0.02
209,0.2,0.38,0.31,0.11,0.02
210,0.21,0.38,0.31,0.11,0.02
211,0.21,0.39,0.31,0.11,0.02
212,0.21,0.39,0.32,0.11,0.02
213,0.21,0.4,0.32,0.11,0.02
214,0.21,0.39,0.31,0.11,0.02
215,0.21,0.38,0.31,0.11,0.02
216,0.21,0.39,0.31,0.11,0.02
217,0.21,0.39,0.31,0.11,0.02
218,0.21,0.39,0.32,0.11,0.02
219,0.21,0.34,0.32,0.11,0.02
220,0.21,0.34,0.32,0.11,0.02
221,0.21,0.34,0.32,0.11,0.02
222,0.21,0.35,0.31,0.11,0.02
223,0.21,0.37,0.31,0.11,0.02
224,0.21,0.39,0.31,0.11,0.02
225,0.2,0.4,0.31,0.11,0.03
226,0.21,0.38,0.34,0.13,0.04
227,0.2,0.4,0.32,0.11,0.02
228,0.21,0.39,0.31,0.11,0.02
229,0.21,0.36,0.31,0.11,0.02
230,0.2,0.39,0.31,0.11,0.02
231,0.2,0.36,0.32,0.11,0.02
232,0.2,0.39,0.31,0.11,0.02
233,0.2,0.39,0.32,0.11,0.02
234,0.2,0.39,0.32,0.12,0.02
235,0.2,0.36,0.32,0.13,0.02
236,0.2,0.38,0.32,0.12,0.02
237,0.22,0.37,0.33,0.13,0.03
238,0.2,0.4,0.32,0.11,0.02
239,0.2,0.36,0.32,0.11,0.02
240,0.2,0.4,0.32,0.11,0.02
241,0.2,0.39,0.32,0.11,0.02
242,0.2,0.39,0.32,0.11,0.02
243,0.2,0.39,0.32,0.11,0.02
244,0.2,0.39,0.32,0.11,0.02
245,0.2,0.39,0.32,0.11,0.02
246,0.2,0.39,0.32,0.11,0.02
247,0.2,0.39,0.35,0.14,0.04
